number,diameter,height,double height,weight
203322,278.0,68.0,136.0,6.45
203324,300.0,68.3,136.6,7.95
203325,279.6,78.6,157.2,8.7
203326,278.0,55.5,111.0,3.83
203328,294.8,49.4,98.8,6.75
203329,320.0,82.0,164.0,12.5
203330,289.8,59.7,119.4,5.51
203331,300.0,60.0,120.0,7.37
203332,288.0,46.5,93.0,6.53
203333,280.0,65.2,130.4,4.3
203334,275.7,76.8,153.6,6.765
203335,275.8,60.0,120.0,5.8
203336,272.0,96.6,193.2,6.98
203337,258.0,96.6,193.2,6.2
203338,294.0,49.5,99.0,7.3
203339,290.0,57.2,114.4,4.8
203340,290.0,56.0,112.0,5.06
203341,299.8,46.5,93.0,8.3
203342,289.7,55.4,110.8,4.53
203343,316.0,46.5,93.0,9.02
203344,284.8,92.9,185.8,7.195
203345,259.6,40.5,81.0,3.75
203346,259.6,40.5,81.0,4.6
203347,302.8,51.1,102.2,7.675
203348,280.0,38.0,76.0,3.85
203349,278.0,66.6,133.2,6.5
203350,310.0,82.0,164.0,8.4
203351,330.0,76.0,152.0,10.45
203352,300.0,58.5,117.0,6.75
203353,312.0,76.0,152.0,8.55
203354,284.8,55.5,111.0,6.0
203355,258.0,53.5,107.0,2.98
203356,345.0,51.0,102.0,11.75
203357,331.0,55.0,110.0,8.1
203358,295.1,54.6,109.2,7.25
203359,295.2,54.5,109.0,8.25
203360,312.0,64.6,129.2,8.95
203361,330.0,64.4,128.8,10.78
203362,300.0,65.5,131.0,5.15
203363,300.0,65.6,131.2,7.1
203365,300.0,58.4,116.8,5.0
203366,360.0,64.5,129.0,15.49
203367,275.9,60.0,120.0,6.7
203368,258.0,96.6,193.2,6.16
203369,270.0,35.6,71.2,5.0
203370,275.9,35.4,70.8,5.261
203371,276.0,44.6,89.2,4.52
203372,276.0,44.7,89.4,5.6
203373,288.0,44.4,88.8,6.27
203374,258.0,57.2,114.4,3.22
203375,299.5,58.4,116.8,8.43
203376,296.0,57.6,115.2,4.68
203377,275.8,77.0,154.0,6.85
203378,271.2,96.6,193.2,6.88
203379,330.0,68.1,136.2,9.69
203380,345.1,76.0,152.0,12.42
203381,303.9,47.6,95.2,9.29
203382,330.0,47.6,95.2,11.49
203383,360.0,76.0,152.0,16.46
203384,314.9,58.5,117.0,7.36
203385,330.2,61.1,122.2,9.56
203386,303.9,47.4,94.8,9.51
203389,300.1,55.4,110.8,7.1
203390,345.0,46.6,93.2,11.66
203391,330.2,62.9,125.8,7.62
203392,330.0,54.7,109.4,11.79
203393,350.2,54.7,109.4,13.15
203394,330.0,62.8,125.6,8.15
203395,258.0,96.6,193.2,6.11
203396,271.2,96.6,193.2,6.92
203397,275.8,77.0,154.0,6.62
203398,304.0,91.0,182.0,10.67
203399,324.0,91.0,182.0,11.66
203401,257.0,34.0,68.0,4.9
203402,242.0,40.5,81.0,3.92
203403,257.3,45.0,90.0,4.93
203404,252.8,28.7,57.4,4.65
203405,254.0,40.0,80.0,4.84
203406,258.0,40.2,80.4,3.52
203407,230.0,43.7,87.4,3.174
203408,242.2,37.0,74.0,4.05
203409,240.8,52.0,104.0,4.62
203410,257.0,46.7,93.4,5.8
203411,257.0,45.5,91.0,5.5
203412,262.0,61.0,122.0,4.18
203413,275.8,47.2,94.4,6.85
203414,284.0,61.1,122.2,4.75
203415,294.0,46.3,92.6,7.2
203417,280.1,42.8,85.6,7.16
